,Day,Date,Holiday Name,Type,Comments
178,Tuesday,Oct 26,Accession Day,Regional Holiday,Jammu and Kashmir
179,Wednesday,Oct 27,Lhabab Duechen,Regional Holiday,
180,Sunday,Oct 31,Sardar Patel's Birthday,Regional Holiday,Gujarat
181,Monday,Nov 01,Haryana Day,Regional Holiday,Haryana only
182,Monday,Nov 01,Puducherry Liberation Day,Regional Holiday,
183,Monday,Nov 01,Kannada Rajyothsava,Regional Holiday,Karnataka only
184,Monday,Nov 01,Kut,Regional Holiday,Manipur
185,Wednesday,Nov 03,Narak Chaturdashi,Regional Holiday,Karnataka
186,Thursday,Nov 04,Diwali,Regional Holiday,Most states
187,Thursday,Nov 04,Kali Puja,Regional Holiday,"Assam, Odisha, West Bengal"
188,Thursday,Nov 04,Diwali Amavasaya,Regional Holiday,Many states
189,Friday,Nov 05,Diwali,Regional Holiday,Most states
190,Friday,Nov 05,Vikram Samvat New Year,Regional Holiday,Gujarat only.
191,Friday,Nov 05,Vishvakarma Day,Regional Holiday,Day after Dewali
192,Friday,Nov 05,Govardhan Puja,Regional Holiday,"Uttar Pradesh, Uttarakhand"
193,Friday,Nov 05,Deepavali Holiday,Regional Holiday,Deepavali
194,Friday,Nov 05,Ningol Chakkouba,Regional Holiday,2nd day of the lunar month of Hiyanggei
195,Saturday,Nov 06,Bhai Bij,Regional Holiday,Some states
196,Wednesday,Nov 10,Chhath Puja,Regional Holiday,Some states
197,Thursday,Nov 11,Chhath Puja Holiday,Regional Holiday,Some states
198,Friday,Nov 12,Wangala Festival,Regional Holiday,Meghalaya. Second week of November
199,Friday,Nov 19,Guru Nanak's Birthday,Regional Holiday,Full moon of the month Kartik
200,Friday,Nov 19,Rasa Purnima,Regional Holiday,Odisha only
201,Monday,Nov 22,Kanakadasa Jayanthi,Regional Holiday,Karnataka
202,Tuesday,Nov 23,Seng Kut Snem,Regional Holiday,Meghalaya
203,Wednesday,Nov 24,Lachit Divas,Regional Holiday,Assam
204,Wednesday,Dec 01,State Inauguration Day,Regional Holiday,Nagaland
205,Wednesday,Dec 01,Indigenous Faith Day,Regional Holiday,Arunachal Pradesh
206,Thursday,Dec 02,Asom Divas,Regional Holiday,Assam only
207,Friday,Dec 03,Feast of St. Francis Xavier,Regional Holiday,Goa
208,Wednesday,Dec 08,Martyrdom of Sri Guru Teg Bahadur Ji,Regional Holiday,Punjab only
209,Saturday,Dec 18,Guru Ghasidas Jayanti,Regional Holiday,
210,Saturday,Dec 18,Death Anniversary of U SoSo Tham,Regional Holiday,Meghalaya
211,Sunday,Dec 19,Goa Liberation Day,Regional Holiday,Goa only
212,Sunday,Dec 19,Teyongsi Sirijunga Sawan Tongnam,Regional Holiday,Sikkim
213,Thursday,Dec 23,Christmas Holiday,Regional Holiday,
214,Friday,Dec 24,Barahimizong,Regional Holiday,Sikkim
215,Friday,Dec 24,Christmas Holiday,Regional Holiday,
216,Friday,Dec 24,Sakewa,Regional Holiday,Sikkim
217,Friday,Dec 24,Christmas Eve,Regional Holiday,
218,Saturday,Dec 25,Christmas Day,Regional Holiday,Observed in all states
219,Sunday,Dec 26,Boxing Day,Regional Holiday,
220,Sunday,Dec 26,Christmas Holiday,Regional Holiday,
221,Monday,Dec 27,Christmas Holiday,Regional Holiday,
222,Monday,Dec 27,Christmas (in lieu),Regional Holiday,
223,Tuesday,Dec 28,Christmas Holiday,Regional Holiday,
224,Wednesday,Dec 29,Christmas Holiday,Regional Holiday,
225,Thursday,Dec 30,Tamu Lhosar,Regional Holiday,
226,Thursday,Dec 30,Christmas Holiday,Regional Holiday,
227,Thursday,Dec 30,U Kiang Nangbah,Regional Holiday,Meghalaya
228,Friday,Dec 31,Christmas Holiday,Regional Holiday,
229,Friday,Dec 31,New Year's Eve,Regional Holiday,
